id,name,kana,type,effect_value_1,effect_value_2,enable_battle,description_1,description_2
200101,まず～い漢方,まずーいかんぽう,3,25,25,1,すごくまずいが　気絶している妖怪が\n目を覚ますぐらい　とても良く効く。,少ないＨＰで　復活
200102,にが～い漢方,にがーいかんぽう,3,50,50,1,達人が調合した　すごくにがい漢方薬。\n気絶した妖怪も飛び上がるほど。,ＨＰはんぶんで　復活
200103,ふか～い漢方,ふかーいかんぽう,3,100,100,1,秘伝の調合で　神がかった効果の漢方薬。\n気絶した妖怪は　たちまち復活する。,ＨＰまんたんで　復活
200506,ミニけいけんちだま,みにけいけんちだま,1,10,10,0,この玉にふれると　３時間修行したのと\n同じ効果があるという　うれしい玉。,けいけんち１０アップ
200501,小けいけんちだま,しょうけいけんちだま,1,50,50,0,ふれるだけで　３日修行したのと\n同じ効果があるという　すばらしい玉。,けいけんち５０アップ
200502,中けいけんちだま,ちゅうけいけんちだま,1,500,500,0,清められたこの玉にふれたものは\nすぐさま　達人の顔つきになる。,けいけんち５００アップ
200503,大けいけんちだま,だいけいけんちだま,1,2000,2000,0,一度ふれると　三度の人生観が\nそなわるといわれる　かがやきあふれる玉。,けいけんち２０００アップ
200504,超けいけんちだま,ちょうけいけんちだま,1,8000,8000,0,この玉には　ノーベル賞をとった人たちの\nたくさんの知識が詰まっているとか。,けいけんち８０００アップ
200505,神けいけんちだま,かみけいけんちだま,1,1800000,1800000,0,小さなトカゲが　この玉にふれたことで\n大きな龍になったという伝説がある。,けいけんち２００００アップ
200701,攻めの秘伝書,せめのひでんしょ,5,1,1,0,『こうげき』のごくいが書かれた秘伝書。\nてっとり早く　こうげきのコツをつかめる。,こうげきの　ランクをあげる
200704,攻めの超秘伝書,せめのちょうひでんしょ,5,1,3,0,伝説の『こうげき』の達人が書いた書。\n読むだけで　こうげきを究められる。,こうげきの　ランクを３あげる
200702,術の秘伝書,じゅつのひでんしょ,5,2,1,0,『ようじゅつ』のごくいが書かれた秘伝書。\nいっしゅんで　ようじゅつが上達する。,ようじゅつの　ランクをあげる
200705,術の超秘伝書,じゅつのちょうひでんしょ,5,2,3,0,　,ようじゅつの　ランクを３あげる
200703,ひっさつの秘伝書,ひっさつのひでんしょ,5,3,1,0,『ひっさつ』のごくいが書かれた秘伝書。\n妖気を　自由自在にあやつる力を得る。,ひっさつの　ランクをあげる
200706,ひっさつの超秘伝書,ひっさつのちょうひでんしょ,5,3,3,0,伝説の『ひっさつ』の仙人が書いた書。\n爆発的に　ひっさつが上達する。,ひっさつの　ランクを３あげる
200802,習得！カラテ講座,しゅうとくからてこうざ,2,1,0,0,空手の基本的なテクニックが書いてある本。\n読むと　こうげきに対するいしきが変わる。,せいかくを『短気』にする
200803,応用！カラテ講座,おうようからてこうざ,2,2,0,0,空手の高度なテクニックが書いてある本。\nこうげきに　いしきを集中させる一冊。,せいかくを『荒くれ』にする
200804,ようじゅつ大百科,ようじゅつだいひゃっか,2,3,0,0,ようじゅつが　たくさんのっている本。\n思わず　ようじゅつに興味が出てしまう。,せいかくを『れいせい』にする
200805,ようじゅつ超百科,ようじゅつちょうひゃっか,2,4,0,0,すべてのようじゅつが　のっていると\n言われている本。　マニアにはたまらない。,せいかくを『ずのう的』にする
200808,いやしの天使ちゃん,いやしのてんしちゃん,2,5,0,0,人々をいやすために　かわいい天使ちゃんが\n活躍する。　やさしい心になれる絵本。,せいかくを『やさしい』にする
200809,さよなら天使ちゃん,さよならてんしちゃん,2,6,0,0,天使ちゃんシリーズ最終作。\n涙なしでは読めない　心あたたまる絵本。,せいかくを『情け深い』にする
200810,おじゃま道,おじゃまみち,2,9,0,0,田舎から出てきた　二人の少年が\n一流のおじゃま師を目指す長編小説。,せいかくを『いやらしい』にする
200811,続おじゃま道,ぞくおじゃまみち,2,10,0,0,一流のおじゃま師になった少年たちが\n世界を変える。　シリーズ完結編。,せいかくを『非道』にする
200812,サポートライフ７月号,さぽーとらいふしちがつごう,2,11,0,0,助けあう生き方をめざす人のための\nトータルライフマガジン　７月号。,せいかくを『協力的』にする
200813,サポートライフ特別編,さぽーとらいふとくべつへん,2,12,0,0,サポートライフ一年間の記事で\nランキング上位だけを集めた特別編。,せいかくを『けんしん的』にする
200806,ガードのすすめ,がーどのすすめ,2,7,0,0,わかりやすい図と解説で\n守りの大切さを教えてくれる本。,せいかくを『しんちょう』にする
200807,ガードばんざい,がーどばんざい,2,8,0,0,守りのすばらしさを伝える本。\n読むと　とにかくだれかを守りたくなる。,せいかくを『動じない』にする
200901,名刀マサムネ,めいとうまさむね,4,0,0,0,刀を手にした者を　悲劇にみちびくという\n呪われた運命をもつ日本刀。,0
200902,妖刀ムラマサ,ようとうむらまさ,4,0,0,0,伝説と呼ばれた職人がきたえた名刀。\n正義のために使われてきたという。,0
200906,神剣クサナギ,しんけんくさなぎ,4,0,0,0,神の力がやどるという　伝説の日本刀。\n１万年の間　切れ味をたもっているという。,0
200903,大将の魂,たいしょうのたましい,4,0,0,0,ある大きなクワを持つ妖怪を\nよみがえらせる力があるという魂。,0
200904,モテウェポン,もてうぇぽん,4,0,0,0,すごく強いけど　モテるやつにしか\n使いこなせない　ふざけた武器。,0
200905,ギガヘルツ玉,ぎがへるつだま,4,0,0,0,人がふれたら　命に危険があるぐらいの\nとんでもない電波がこめられた玉。,0
200908,無双の魂,むそうのたましい,4,0,0,0,無双の強さをほこった戦士の魂。\n大きなツノを持つ妖怪に関係があるらしい。,0
200912,プラチナインゴット,プラチナインゴット,4,0,0,0,純プラチナの　大きなのべぼう。\nかなり珍しい妖怪と関係があるようで…？,0
200909,雪王のマント,せつおうのまんと,4,0,0,0,雪山の王となる者のみに\n身につけることが許された白銀のマント。,0
200910,愛のシャク,あいのしゃく,4,0,0,0,愛の貴族だけが持てる　高貴なシャク。\nただの板だと思ったら大まちがい。,0
200907,白銀のかみどめ,はくぎんのかみどめ,4,0,0,0,永遠にとけない氷でできた髪どめ。\nものすごい冷気のパワーを秘めている。,0
200911,親方ダンベル,おやかただんべる,4,0,0,0,とても大きくて　ずっしりとくるダンベル。\nこれできたえれば　りっぱな親方になれる！,0
200914,邪心のかたまり,じゃしんのかたまり,4,0,0,0,自信をなくした悪魔に　邪悪な心を\n思い出させることができる危険な宝石。,0
200913,生命のおしろい,せいめいのおしろい,4,0,0,0,人の魂を　集めて固め　粉にしたおしろい。\n肌にぬれば　たちまち若返る。,0
200916,龍神玉,りゅうじんだま,4,0,0,0,偉大な龍神のオーラがこめられた\nこの世のものとは思えない　美しい玉。,0
200934,暴虐な刀,ぼうぎゃくなかたな,4,0,0,0,この刀を持った者は　手に負えない\n暴れんぼうになってしまう。,0
200935,砂スーツ,すなすーつ,4,0,0,0,砂でできた　世にも不思議なスーツ。\n雨が降ると重くなるので注意。,0
200936,神通力水,じんつうりきすい,4,0,0,0,飲むと　神に近い存在になれる水。\n適応できない場合は　おそろしいことに…。,0
200937,呪いの日記帳,のろいのにっきちょう,4,0,0,0,呪いという名の愛に満ちた日記帳。\n勝手に読むと　呪われてしまう…。,0
200938,爆音クラクション,ばくおんくらくしょん,4,0,0,0,爆音を鳴らすクラクション。\nその音は　１ｋｍ先でも聞こえるらしい。,0
200939,記憶吸い取り機,きおくすいとりき,4,0,0,0,記憶を吸い取ってしまう機械。\n実は　記憶を取り戻すこともできるらしい。,0
200940,人魚の宝玉,にんぎょのほうぎょく,4,0,0,0,人魚が生まれ変わるときに出現する宝玉。\nあまりの美しさに　観賞用としても人気。,0
200941,愛情おむすび,あいじょうおむすび,4,0,0,0,愛情がたっぷりつまった　おむすび。\nどんなに空腹でも　これ１個で満足できる。,0
